path	energy1	energy2	mu
0	-0.791486	16.834486	12.590000
1	-0.791038	16.834038	12.590000
2	-0.789695	16.832695	12.590000
3	-0.787461	16.830461	12.590000
4	-0.784339	16.827339	12.590000
5	-0.780337	16.823337	12.590000
6	-0.775464	16.818464	12.590000
7	-0.769729	16.812729	12.590000
8	-0.763146	16.806146	12.590000
9	-0.755728	16.798728	12.590000
10	-0.747491	16.790491	12.590000
11	-0.738454	16.781454	12.590000
12	-0.728635	16.771635	12.590000
13	-0.718057	16.761057	12.590000
14	-0.706741	16.749741	12.590000
15	-0.694711	16.737711	12.590000
16	-0.681995	16.724995	12.590000
17	-0.668619	16.711619	12.590000
18	-0.654611	16.697611	12.590000
19	-0.640002	16.683002	12.590000
20	-0.624822	16.667822	12.590000
21	-0.609105	16.652105	12.590000
22	-0.592883	16.635883	12.590000
23	-0.576190	16.619190	12.590000
24	-0.559062	16.602062	12.590000
25	-0.541535	16.584535	12.590000
26	-0.523646	16.566646	12.590000
27	-0.505431	16.548431	12.590000
28	-0.486928	16.529928	12.590000
29	-0.468176	16.511176	12.590000
30	-0.449212	16.492212	12.590000
31	-0.430076	16.473076	12.590000
32	-0.410805	16.453805	12.590000
33	-0.391439	16.434439	12.590000
34	-0.372015	16.415015	12.590000
35	-0.352571	16.395571	12.590000
36	-0.333146	16.376146	12.590000
37	-0.313775	16.356775	12.590000
38	-0.294495	16.337495	12.590000
39	-0.275343	16.318343	12.590000
40	-0.256351	16.299351	12.590000
41	-0.237555	16.280555	12.590000
42	-0.218987	16.261987	12.590000
43	-0.200678	16.243678	12.590000
44	-0.182658	16.225658	12.590000
45	-0.164957	16.207957	12.590000
46	-0.147601	16.190601	12.590000
47	-0.130617	16.173617	12.590000
48	-0.114028	16.157028	12.590000
49	-0.097857	16.140857	12.590000
50	-0.082124	16.125124	12.590000
51	-0.066848	16.109848	12.590000
52	-0.052047	16.095047	12.590000
53	-0.037736	16.080736	12.590000
54	-0.023926	16.066926	12.590000
55	-0.010631	16.053631	12.590000
56	0.002141	16.040859	12.590000
57	0.014383	16.028617	12.590000
58	0.026090	16.016910	12.590000
59	0.037257	16.005743	12.590000
60	0.047884	15.995116	12.590000
61	0.057971	15.985029	12.590000
62	0.067521	15.975479	12.590000
63	0.076537	15.966463	12.590000
64	0.085025	15.957975	12.590000
65	0.092993	15.950007	12.590000
66	0.100450	15.942550	12.590000
