#f n/2	a n/2	1/u	f e-eu	a e-eu	elapsed time(s)
0.600150	0.600500	0.123457	-1.583769	-1.439573	293.319349
0.600150	0.600500	0.125000	-1.583715	-1.454167	332.654375
0.600150	0.600500	0.126582	-1.583779	-1.469030	370.061459
0.600150	0.600500	0.128205	-1.583765	-1.484168	377.205144
0.600150	0.600500	0.129870	-1.583748	-1.499588	465.221067
0.600150	0.600500	0.131579	-1.583743	-1.515298	491.026937
0.600150	0.600500	0.133333	-1.583724	-1.531302	559.250353
0.600150	0.600500	0.135135	-1.583735	-1.547609	715.535664
0.600000	0.600500	0.136986	-1.584421	-1.564226	1078.499799
0.600300	0.600500	0.138889	-1.580761	-1.581161	880.598612
0.600300	0.600500	0.140845	-1.595953	-1.598433	1156.275642
0.600300	0.600500	0.142857	-1.615324	-1.616067	1382.673467
0.600100	0.600500	0.144928	-1.632930	-1.633972	1247.033863
0.600100	0.600500	0.147059	-1.650883	-1.651939	1142.207052
0.600100	0.600500	0.149254	-1.669074	-1.669928	1243.578470
0.600100	0.600500	0.151515	-1.687074	-1.687926	1161.649344
0.600100	0.600500	0.153846	-1.705074	-1.705926	1114.794536
0.600100	0.600500	0.156250	-1.723074	-1.723926	1095.578346
0.600100	0.600500	0.158730	-1.741074	-1.741926	1017.822022
0.600100	0.600500	0.161290	-1.759074	-1.759926	910.948384
0.600100	0.600500	0.163934	-1.777074	-1.777926	804.968624
0.600100	0.600500	0.166667	-1.795074	-1.795926	742.253843
0.600100	0.600500	0.169492	-1.813074	-1.813926	680.439406
0.600100	0.600500	0.172414	-1.831074	-1.831926	623.261485
0.600100	0.600500	0.175439	-1.849073	-1.849926	586.670670
0.600100	0.600500	0.178571	-1.867073	-1.867926	551.377038
0.600100	0.600500	0.181818	-1.885073	-1.885926	512.272673
0.600100	0.600500	0.185185	-1.903073	-1.903926	484.041866
0.600100	0.600500	0.188679	-1.921073	-1.921926	442.861241
0.600100	0.600500	0.192308	-1.939073	-1.939926	433.411086
0.600100	0.600500	0.196078	-1.957073	-1.957926	410.373931
0.600100	0.600500	0.200000	-1.975075	-1.975926	393.987012
