#f n/2	a n/2	1/u	f e-eu	a e-eu	elapsed time(s)
0.700150	0.700900	0.123457	-1.438018	-1.273239	239.016085
0.700150	0.700900	0.125000	-1.437956	-1.286319	249.617702
0.700150	0.700900	0.126582	-1.438005	-1.299646	169.615587
0.700150	0.700900	0.128205	-1.438011	-1.313231	188.485320
0.700150	0.700900	0.129870	-1.437967	-1.327076	164.344685
0.700150	0.700900	0.131579	-1.437989	-1.339937	284.259445
0.700150	0.700900	0.133333	-1.437961	-1.354367	275.432616
0.700150	0.700900	0.135135	-1.437892	-1.370248	274.595018
0.700150	0.700900	0.136986	-1.437948	-1.385209	383.013422
0.700000	0.700900	0.138889	-1.439559	-1.400465	1071.825886
0.700000	0.700900	0.140845	-1.440912	-1.416025	939.422353
0.700200	0.700900	0.142857	-1.447262	-1.431898	627.100061
0.700200	0.700900	0.144928	-1.448110	-1.448090	895.721304
0.700000	0.700900	0.147059	-1.455001	-1.463751	1042.745479
0.700000	0.700900	0.149254	-1.468993	-1.481468	887.494343
