path	energy1	energy2	mu
0	6.042999	-1.957001	1.549000
1	6.042397	-1.956398	1.549000
2	6.040590	-1.954592	1.549000
3	6.037580	-1.951582	1.549000
4	6.033369	-1.947370	1.549000
5	6.027958	-1.941960	1.549000
6	6.021352	-1.935354	1.549000
7	6.013555	-1.927556	1.549000
8	6.004570	-1.918571	1.549000
9	5.994404	-1.908405	1.549000
10	5.983062	-1.897063	1.549000
11	5.970551	-1.884553	1.549000
12	5.956880	-1.870881	1.549000
13	5.942056	-1.856057	1.549000
14	5.926087	-1.840089	1.549000
15	5.908985	-1.822986	1.549000
16	5.890758	-1.804760	1.549000
17	5.871419	-1.785420	1.549000
18	5.850978	-1.764979	1.549000
19	5.829448	-1.743449	1.549000
20	5.806842	-1.720843	1.549000
21	5.783173	-1.697175	1.549000
22	5.758456	-1.672458	1.549000
23	5.732706	-1.646708	1.549000
24	5.705938	-1.619940	1.549000
25	5.678169	-1.592170	1.549000
26	5.649414	-1.563416	1.549000
27	5.619692	-1.533694	1.549000
28	5.589020	-1.503022	1.549000
29	5.557417	-1.471418	1.549000
30	5.524902	-1.438903	1.549000
31	5.491493	-1.405495	1.549000
32	5.457213	-1.371214	1.549000
33	5.422080	-1.336082	1.549000
34	5.386117	-1.300119	1.549000
35	5.349345	-1.263346	1.549000
36	5.311786	-1.225787	1.549000
37	5.273462	-1.187464	1.549000
38	5.234398	-1.148399	1.549000
39	5.194616	-1.108617	1.549000
40	5.154140	-1.068141	1.549000
41	5.112995	-1.026996	1.549000
42	5.071205	-0.985206	1.549000
43	5.028796	-0.942797	1.549000
44	4.985793	-0.899794	1.549000
45	4.942222	-0.856223	1.549000
46	4.898109	-0.812111	1.549000
47	4.853482	-0.767483	1.549000
48	4.808366	-0.722368	1.549000
49	4.762789	-0.676791	1.549000
50	4.716779	-0.630780	1.549000
51	4.670363	-0.584364	1.549000
52	4.623569	-0.537570	1.549000
53	4.576425	-0.490426	1.549000
54	4.528960	-0.442961	1.549000
55	4.481202	-0.395203	1.549000
56	4.433180	-0.347181	1.549000
57	4.384923	-0.298925	1.549000
58	4.336460	-0.250462	1.549000
59	4.287821	-0.201822	1.549000
60	4.239034	-0.153035	1.549000
61	4.190128	-0.104130	1.549000
62	4.141135	-0.055136	1.549000
63	4.092082	-0.006083	1.549000
64	4.042999	0.042999	1.549000
65	3.993917	0.092082	1.549000
66	3.944864	0.141135	1.549000
67	3.895870	0.190128	1.549000
68	3.846965	0.239034	1.549000
69	3.798178	0.287821	1.549000
70	3.749538	0.336460	1.549000
71	3.701075	0.384923	1.549000
72	3.652819	0.433180	1.549000
73	3.604797	0.481202	1.549000
74	3.557039	0.528960	1.549000
75	3.509574	0.576425	1.549000
76	3.462430	0.623569	1.549000
77	3.415636	0.670363	1.549000
78	3.369220	0.716779	1.549000
79	3.323209	0.762789	1.549000
80	3.277632	0.808366	1.549000
81	3.232517	0.853482	1.549000
82	3.187889	0.898109	1.549000
83	3.143777	0.942222	1.549000
84	3.100206	0.985793	1.549000
85	3.057203	1.028796	1.549000
86	3.014794	1.071205	1.549000
87	2.973004	1.112995	1.549000
88	2.931859	1.154140	1.549000
89	2.891383	1.194616	1.549000
90	2.851601	1.234398	1.549000
91	2.812536	1.273462	1.549000
92	2.774213	1.311786	1.549000
93	2.736654	1.349345	1.549000
94	2.699881	1.386117	1.549000
95	2.663918	1.422080	1.549000
96	2.628786	1.457213	1.549000
97	2.594505	1.491493	1.549000
98	2.561097	1.524902	1.549000
99	2.528582	1.557417	1.549000
100	2.496978	1.589020	1.549000
101	2.466306	1.619692	1.549000
102	2.436584	1.649414	1.549000
103	2.407830	1.678169	1.549000
104	2.380060	1.705938	1.549000
105	2.353292	1.732706	1.549000
106	2.327542	1.758456	1.549000
107	2.302825	1.783173	1.549000
108	2.279157	1.806842	1.549000
109	2.256551	1.829448	1.549000
110	2.235021	1.850978	1.549000
111	2.214580	1.871419	1.549000
112	2.195240	1.890758	1.549000
113	2.177014	1.908985	1.549000
114	2.159911	1.926087	1.549000
115	2.143943	1.942056	1.549000
116	2.129119	1.956880	1.549000
117	2.115447	1.970551	1.549000
118	2.102937	1.983062	1.549000
119	2.091595	1.994404	1.549000
120	2.081429	2.004570	1.549000
121	2.072444	2.013555	1.549000
122	2.064646	2.021352	1.549000
123	2.058040	2.027958	1.549000
124	2.052630	2.033369	1.549000
125	2.048418	2.037580	1.549000
126	2.045408	2.040590	1.549000
127	2.043602	2.042397	1.549000
128	2.042999	2.042999	1.549000
129	2.042397	2.043602	1.549000
130	2.040590	2.045408	1.549000
131	2.037580	2.048418	1.549000
132	2.052630	2.033369	1.549000
133	2.027958	2.058040	1.549000
134	2.064646	2.021352	1.549000
135	2.072444	2.013555	1.549000
136	2.081429	2.004570	1.549000
137	2.091595	1.994404	1.549000
138	1.983062	2.102937	1.549000
139	2.115447	1.970551	1.549000
140	1.956880	2.129119	1.549000
141	2.143943	1.942056	1.549000
142	2.159911	1.926087	1.549000
143	2.177014	1.908985	1.549000
144	2.195240	1.890758	1.549000
145	1.871419	2.214580	1.549000
146	1.850978	2.235021	1.549000
147	2.256551	1.829448	1.549000
148	1.806842	2.279157	1.549000
149	2.302825	1.783173	1.549000
150	1.758456	2.327542	1.549000
151	2.353292	1.732706	1.549000
152	1.705938	2.380060	1.549000
153	1.678169	2.407830	1.549000
154	1.649414	2.436584	1.549000
155	1.619692	2.466306	1.549000
156	1.589020	2.496978	1.549000
157	2.528582	1.557417	1.549000
158	2.561097	1.524902	1.549000
159	2.594505	1.491493	1.549000
160	2.628786	1.457213	1.549000
161	1.422080	2.663918	1.549000
162	2.699881	1.386117	1.549000
163	2.736654	1.349345	1.549000
164	1.311786	2.774213	1.549000
165	2.812536	1.273462	1.549000
166	1.234398	2.851601	1.549000
167	2.891383	1.194616	1.549000
168	1.154140	2.931859	1.549000
169	1.112995	2.973004	1.549000
170	3.014794	1.071205	1.549000
171	3.057203	1.028796	1.549000
172	3.100206	0.985793	1.549000
173	3.143777	0.942222	1.549000
174	0.898109	3.187889	1.549000
175	3.232517	0.853482	1.549000
176	0.808366	3.277632	1.549000
177	0.762789	3.323209	1.549000
178	0.716779	3.369220	1.549000
179	3.415636	0.670363	1.549000
180	3.462430	0.623569	1.549000
181	3.509574	0.576425	1.549000
182	3.557039	0.528960	1.549000
183	3.604797	0.481202	1.549000
184	3.652819	0.433180	1.549000
185	3.701075	0.384923	1.549000
186	3.749538	0.336460	1.549000
187	0.287821	3.798178	1.549000
188	0.239034	3.846965	1.549000
189	0.190128	3.895870	1.549000
190	0.141135	3.944864	1.549000
191	0.092082	3.993917	1.549000
192	4.042999	0.042999	1.549000
193	4.092082	-0.006083	1.549000
194	4.141135	-0.055136	1.549000
195	-0.104130	4.190128	1.549000
196	-0.153035	4.239034	1.549000
197	4.287821	-0.201822	1.549000
198	4.336460	-0.250462	1.549000
199	4.384923	-0.298925	1.549000
200	4.433180	-0.347181	1.549000
201	-0.395203	4.481202	1.549000
202	-0.442961	4.528960	1.549000
203	4.576425	-0.490426	1.549000
204	4.623569	-0.537570	1.549000
205	-0.584364	4.670363	1.549000
206	4.716779	-0.630780	1.549000
207	4.762789	-0.676791	1.549000
208	-0.722368	4.808366	1.549000
209	4.853482	-0.767483	1.549000
210	4.898109	-0.812111	1.549000
211	-0.856223	4.942222	1.549000
212	-0.899794	4.985793	1.549000
