path	energy1	energy2	mu
0	8.404125	0.404125	6.170000
1	8.403138	0.405112	6.170000
2	8.400178	0.408072	6.170000
3	8.395249	0.413001	6.170000
4	8.388354	0.419896	6.170000
5	8.379502	0.428748	6.170000
6	8.368700	0.439550	6.170000
7	8.355959	0.452291	6.170000
8	8.341291	0.466959	6.170000
9	8.324712	0.483538	6.170000
10	8.306238	0.502012	6.170000
11	8.285887	0.522363	6.170000
12	8.263678	0.544572	6.170000
13	8.239634	0.568616	6.170000
14	8.213779	0.594471	6.170000
15	8.186138	0.622112	6.170000
16	8.156738	0.651512	6.170000
17	8.125609	0.682641	6.170000
18	8.092781	0.715469	6.170000
19	8.058286	0.749964	6.170000
20	8.022159	0.786091	6.170000
21	7.984435	0.823815	6.170000
22	7.945151	0.863099	6.170000
23	7.904347	0.903903	6.170000
24	7.862062	0.946188	6.170000
25	7.818339	0.989911	6.170000
26	7.773219	1.035031	6.170000
27	7.726749	1.081501	6.170000
28	7.678973	1.129277	6.170000
29	7.629939	1.178311	6.170000
30	7.579696	1.228554	6.170000
31	7.528292	1.279958	6.170000
32	7.475779	1.332471	6.170000
33	7.422208	1.386042	6.170000
34	7.367632	1.440618	6.170000
35	7.312106	1.496144	6.170000
36	7.255684	1.552566	6.170000
37	7.198421	1.609829	6.170000
38	7.140374	1.667876	6.170000
39	7.081601	1.726649	6.170000
40	7.022159	1.786091	6.170000
41	6.962107	1.846143	6.170000
42	6.901505	1.906745	6.170000
43	6.840411	1.967839	6.170000
44	6.778888	2.029362	6.170000
45	6.716994	2.091256	6.170000
46	6.654791	2.153459	6.170000
47	6.592342	2.215908	6.170000
48	6.529706	2.278544	6.170000
49	6.466947	2.341303	6.170000
50	6.404125	2.404125	6.170000
51	6.341303	2.466947	6.170000
52	6.278544	2.529706	6.170000
53	6.215908	2.592342	6.170000
54	6.153459	2.654791	6.170000
55	6.091256	2.716994	6.170000
56	6.029362	2.778888	6.170000
57	5.967839	2.840411	6.170000
58	5.906745	2.901505	6.170000
59	5.846143	2.962107	6.170000
60	5.786091	3.022159	6.170000
61	5.726649	3.081601	6.170000
62	5.667876	3.140374	6.170000
63	5.609829	3.198421	6.170000
64	5.552566	3.255684	6.170000
65	5.496144	3.312106	6.170000
66	5.440618	3.367632	6.170000
67	5.386042	3.422208	6.170000
68	5.332471	3.475779	6.170000
69	5.279958	3.528292	6.170000
70	5.228554	3.579696	6.170000
71	5.178311	3.629939	6.170000
72	5.129277	3.678973	6.170000
73	5.081501	3.726749	6.170000
74	5.035031	3.773219	6.170000
75	4.989911	3.818339	6.170000
76	4.946188	3.862062	6.170000
77	4.903903	3.904347	6.170000
78	4.863099	3.945151	6.170000
79	4.823815	3.984435	6.170000
80	4.786091	4.022159	6.170000
81	4.749964	4.058286	6.170000
82	4.715469	4.092781	6.170000
83	4.682641	4.125609	6.170000
84	4.651512	4.156738	6.170000
85	4.622112	4.186138	6.170000
86	4.594471	4.213779	6.170000
87	4.568616	4.239634	6.170000
88	4.544572	4.263678	6.170000
89	4.522363	4.285887	6.170000
90	4.502012	4.306238	6.170000
91	4.483538	4.324712	6.170000
92	4.466959	4.341291	6.170000
93	4.452291	4.355959	6.170000
94	4.439550	4.368700	6.170000
95	4.428748	4.379502	6.170000
96	4.419896	4.388354	6.170000
97	4.413001	4.395249	6.170000
98	4.408072	4.400178	6.170000
99	4.405112	4.403138	6.170000
100	4.404125	4.404125	6.170000
101	4.405112	4.403138	6.170000
102	4.400178	4.408072	6.170000
103	4.395249	4.413001	6.170000
104	4.419896	4.388354	6.170000
105	4.428748	4.379502	6.170000
106	4.439550	4.368700	6.170000
107	4.355959	4.452291	6.170000
108	4.466959	4.341291	6.170000
109	4.324712	4.483538	6.170000
110	4.502012	4.306238	6.170000
111	4.285887	4.522363	6.170000
112	4.263678	4.544572	6.170000
113	4.568616	4.239634	6.170000
