kx	ky	energy
-3.141593	-3.141593	5.020386
-3.141593	-3.092505	5.017977
-3.141593	-3.043418	5.010755
-3.141593	-2.994330	4.998739
-3.141593	-2.945243	4.981956
-3.141593	-2.896156	4.960448
-3.141593	-2.847068	4.934266
-3.141593	-2.797981	4.903474
-3.141593	-2.748894	4.868145
-3.141593	-2.699806	4.828364
-3.141593	-2.650719	4.784228
-3.141593	-2.601631	4.735843
-3.141593	-2.552544	4.683325
-3.141593	-2.503457	4.626801
-3.141593	-2.454369	4.566407
-3.141593	-2.405282	4.502288
-3.141593	-2.356194	4.434599
-3.141593	-2.307107	4.363504
-3.141593	-2.258020	4.289172
-3.141593	-2.208932	4.211784
-3.141593	-2.159845	4.131526
-3.141593	-2.110758	4.048591
-3.141593	-2.061670	3.963179
-3.141593	-2.012583	3.875496
-3.141593	-1.963495	3.785753
-3.141593	-1.914408	3.694165
-3.141593	-1.865321	3.600955
-3.141593	-1.816233	3.506346
-3.141593	-1.767146	3.410566
-3.141593	-1.718058	3.313847
-3.141593	-1.668971	3.216420
-3.141593	-1.619884	3.118521
-3.141593	-1.570796	3.020386
-3.141593	-1.521709	2.922250
-3.141593	-1.472622	2.824351
-3.141593	-1.423534	2.726925
-3.141593	-1.374447	2.630205
-3.141593	-1.325359	2.534425
-3.141593	-1.276272	2.439816
-3.141593	-1.227185	2.346606
-3.141593	-1.178097	2.255019
-3.141593	-1.129010	2.165276
-3.141593	-1.079922	2.077592
-3.141593	-1.030835	1.992180
-3.141593	-0.981748	1.909245
-3.141593	-0.932660	1.828987
-3.141593	-0.883573	1.751599
-3.141593	-0.834486	1.677268
-3.141593	-0.785398	1.606172
-3.141593	-0.736311	1.538483
-3.141593	-0.687223	1.474365
-3.141593	-0.638136	1.413971
-3.141593	-0.589049	1.357447
-3.141593	-0.539961	1.304929
-3.141593	-0.490874	1.256543
-3.141593	-0.441786	1.212407
-3.141593	-0.392699	1.172627
-3.141593	-0.343612	1.137298
-3.141593	-0.294524	1.106505
-3.141593	-0.245437	1.080323
-3.141593	-0.196350	1.058815
-3.141593	-0.147262	1.042033
-3.141593	-0.098175	1.030016
-3.141593	-0.049087	1.022795
-3.141593	0.000000	1.020386
-3.141593	0.049087	1.022795
-3.141593	0.098175	1.030016
-3.141593	0.147262	1.042033
-3.141593	0.196350	1.058815
-3.141593	0.245437	1.080323
-3.141593	0.294524	1.106505
-3.141593	0.343612	1.137298
-3.141593	0.392699	1.172627
-3.141593	0.441786	1.212407
-3.141593	0.490874	1.256543
-3.141593	0.539961	1.304929
-3.141593	0.589049	1.357447
-3.141593	0.638136	1.413971
-3.141593	0.687223	1.474365
-3.141593	0.736311	1.538483
-3.141593	0.785398	1.606172
-3.141593	0.834486	1.677268
-3.141593	0.883573	1.751599
-3.141593	0.932660	1.828987
-3.141593	0.981748	1.909245
-3.141593	1.030835	1.992180
-3.141593	1.079922	2.077592
-3.141593	1.129010	2.165276
-3.141593	1.178097	2.255019
-3.141593	1.227185	2.346606
-3.141593	1.276272	2.439816
-3.141593	1.325359	2.534425
-3.141593	1.374447	2.630205
-3.141593	1.423534	2.726925
-3.141593	1.472622	2.824351
-3.141593	1.521709	2.922250
-3.141593	1.570796	3.020386
-3.141593	1.619884	3.118521
-3.141593	1.668971	3.216420
-3.141593	1.718058	3.313847
-3.141593	1.767146	3.410566
-3.141593	1.816233	3.506346
-3.141593	1.865321	3.600955
-3.141593	1.914408	3.694165
-3.141593	1.963495	3.785753
-3.141593	2.012583	3.875496
-3.141593	2.061670	3.963179
-3.141593	2.110758	4.048591
-3.141593	2.159845	4.131526
-3.141593	2.208932	4.211784
-3.141593	2.258020	4.289172
-3.141593	2.307107	4.363504
-3.141593	2.356194	4.434599
-3.141593	2.405282	4.502288
-3.141593	2.454369	4.566407
-3.141593	2.503457	4.626801
-3.141593	2.552544	4.683325
-3.141593	2.601631	4.735843
-3.141593	2.650719	4.784228
-3.141593	2.699806	4.828364
-3.141593	2.748894	4.868145
-3.141593	2.797981	4.903474
-3.141593	2.847068	4.934266
-3.141593	2.896156	4.960448
-3.141593	2.945243	4.981956
-3.141593	2.994330	4.998739
-3.141593	3.043418	5.010755
-3.141593	3.092505	5.017977
-3.092505	-3.141593	5.017977
-3.092505	-3.092505	5.015568
-3.092505	-3.043418	5.008346
-3.092505	-2.994330	4.996330
-3.092505	-2.945243	4.979547
-3.092505	-2.896156	4.958039
-3.092505	-2.847068	4.931857
-3.092505	-2.797981	4.901065
-3.092505	-2.748894	4.865736
-3.092505	-2.699806	4.825955
-3.092505	-2.650719	4.781819
-3.092505	-2.601631	4.733434
-3.092505	-2.552544	4.680916
-3.092505	-2.503457	4.624392
-3.092505	-2.454369	4.563998
-3.092505	-2.405282	4.499879
-3.092505	-2.356194	4.432190
-3.092505	-2.307107	4.361095
