kx	ky	energy
-3.141593	-3.141593	5.543762	5.456238
-3.141593	-3.092505	5.541353	5.453829
-3.141593	-3.043418	5.534132	5.446607
-3.141593	-2.994330	5.522115	5.434591
-3.141593	-2.945243	5.505333	5.417808
-3.141593	-2.896156	5.483825	5.396300
-3.141593	-2.847068	5.457643	5.370118
-3.141593	-2.797981	5.426850	5.339326
-3.141593	-2.748894	5.391521	5.303997
-3.141593	-2.699806	5.351741	5.264216
-3.141593	-2.650719	5.307605	5.220080
-3.141593	-2.601631	5.259219	5.171695
-3.141593	-2.552544	5.206701	5.119177
-3.141593	-2.503457	5.150177	5.062653
-3.141593	-2.454369	5.089783	5.002259
-3.141593	-2.405282	5.025664	4.938140
-3.141593	-2.356194	4.957976	4.870451
-3.141593	-2.307107	4.886880	4.799356
-3.141593	-2.258020	4.812549	4.725024
-3.141593	-2.208932	4.735161	4.647636
-3.141593	-2.159845	4.654903	4.567378
-3.141593	-2.110758	4.571968	4.484443
-3.141593	-2.061670	4.486556	4.399031
-3.141593	-2.012583	4.398872	4.311348
-3.141593	-1.963495	4.309129	4.221605
-3.141593	-1.914408	4.217542	4.130017
-3.141593	-1.865321	4.124332	4.036807
-3.141593	-1.816233	4.029723	3.942198
-3.141593	-1.767146	3.933943	3.846418
-3.141593	-1.718058	3.837223	3.749699
-3.141593	-1.668971	3.739796	3.652272
-3.141593	-1.619884	3.641898	3.554373
-3.141593	-1.570796	3.543762	3.456238
-3.141593	-1.521709	3.445627	3.358102
-3.141593	-1.472622	3.347728	3.260204
-3.141593	-1.423534	3.250301	3.162777
-3.141593	-1.374447	3.153582	3.066057
-3.141593	-1.325359	3.057802	2.970277
-3.141593	-1.276272	2.963193	2.875668
-3.141593	-1.227185	2.869983	2.782458
-3.141593	-1.178097	2.778395	2.690871
-3.141593	-1.129010	2.688652	2.601128
-3.141593	-1.079922	2.600969	2.513444
-3.141593	-1.030835	2.515557	2.428032
-3.141593	-0.981748	2.432622	2.345097
-3.141593	-0.932660	2.352364	2.264839
-3.141593	-0.883573	2.274976	2.187451
-3.141593	-0.834486	2.200644	2.113120
-3.141593	-0.785398	2.129549	2.042024
-3.141593	-0.736311	2.061860	1.974336
-3.141593	-0.687223	1.997741	1.910217
-3.141593	-0.638136	1.937347	1.849823
-3.141593	-0.589049	1.880823	1.793299
-3.141593	-0.539961	1.828305	1.740781
-3.141593	-0.490874	1.779920	1.692395
-3.141593	-0.441786	1.735784	1.648259
-3.141593	-0.392699	1.696003	1.608479
-3.141593	-0.343612	1.660674	1.573150
-3.141593	-0.294524	1.629882	1.542357
-3.141593	-0.245437	1.603700	1.516175
-3.141593	-0.196350	1.582192	1.494667
-3.141593	-0.147262	1.565409	1.477885
-3.141593	-0.098175	1.553393	1.465868
-3.141593	-0.049087	1.546171	1.458647
-3.141593	0.000000	1.543762	1.456238
-3.141593	0.049087	1.546171	1.458647
-3.141593	0.098175	1.553393	1.465868
-3.141593	0.147262	1.565409	1.477885
-3.141593	0.196350	1.582192	1.494667
-3.141593	0.245437	1.603700	1.516175
-3.141593	0.294524	1.629882	1.542357
-3.141593	0.343612	1.660674	1.573150
-3.141593	0.392699	1.696003	1.608479
-3.141593	0.441786	1.735784	1.648259
-3.141593	0.490874	1.779920	1.692395
-3.141593	0.539961	1.828305	1.740781
-3.141593	0.589049	1.880823	1.793299
-3.141593	0.638136	1.937347	1.849823
-3.141593	0.687223	1.997741	1.910217
-3.141593	0.736311	2.061860	1.974336
-3.141593	0.785398	2.129549	2.042024
-3.141593	0.834486	2.200644	2.113120
-3.141593	0.883573	2.274976	2.187451
-3.141593	0.932660	2.352364	2.264839
-3.141593	0.981748	2.432622	2.345097
-3.141593	1.030835	2.515557	2.428032
-3.141593	1.079922	2.600969	2.513444
-3.141593	1.129010	2.688652	2.601128
-3.141593	1.178097	2.778395	2.690871
-3.141593	1.227185	2.869983	2.782458
-3.141593	1.276272	2.963193	2.875668
-3.141593	1.325359	3.057802	2.970277
-3.141593	1.374447	3.153582	3.066057
-3.141593	1.423534	3.250301	3.162777
-3.141593	1.472622	3.347728	3.260204
-3.141593	1.521709	3.445627	3.358102
-3.141593	1.570796	3.543762	3.456238
-3.141593	1.619884	3.641898	3.554373
-3.141593	1.668971	3.739796	3.652272
-3.141593	1.718058	3.837223	3.749699
-3.141593	1.767146	3.933943	3.846418
-3.141593	1.816233	4.029723	3.942198
-3.141593	1.865321	4.124332	4.036807
-3.141593	1.914408	4.217542	4.130017
-3.141593	1.963495	4.309129	4.221605
-3.141593	2.012583	4.398872	4.311348
-3.141593	2.061670	4.486556	4.399031
-3.141593	2.110758	4.571968	4.484443
-3.141593	2.159845	4.654903	4.567378
-3.141593	2.208932	4.735161	4.647636
-3.141593	2.258020	4.812549	4.725024
-3.141593	2.307107	4.886880	4.799356
-3.141593	2.356194	4.957976	4.870451
-3.141593	2.405282	5.025664	4.938140
-3.141593	2.454369	5.089783	5.002259
-3.141593	2.503457	5.150177	5.062653
-3.141593	2.552544	5.206701	5.119177
-3.141593	2.601631	5.259219	5.171695
-3.141593	2.650719	5.307605	5.220080
-3.141593	2.699806	5.351741	5.264216
-3.141593	2.748894	5.391521	5.303997
-3.141593	2.797981	5.426850	5.339326
-3.141593	2.847068	5.457643	5.370118
-3.141593	2.896156	5.483825	5.396300
-3.141593	2.945243	5.505333	5.417808
-3.141593	2.994330	5.522115	5.434591
-3.141593	3.043418	5.534132	5.446607
-3.141593	3.092505	5.541353	5.453829
-3.092505	-3.141593	5.541353	5.453829
-3.092505	-3.092505	5.538944	5.451420
-3.092505	-3.043418	5.531723	5.444198
-3.092505	-2.994330	5.519706	5.432182
-3.092505	-2.945243	5.502924	5.415399
-3.092505	-2.896156	5.481416	5.393891
-3.092505	-2.847068	5.455234	5.367709
-3.092505	-2.797981	5.424441	5.336917
-3.092505	-2.748894	5.389112	5.301588
-3.092505	-2.699806	5.349332	5.261807
-3.092505	-2.650719	5.305196	5.217671
-3.092505	-2.601631	5.256810	5.169286
-3.092505	-2.552544	5.204292	5.116768
-3.092505	-2.503457	5.147768	5.060244
-3.092505	-2.454369	5.087374	4.999850
-3.092505	-2.405282	5.023255	4.935731
