path	fm energy1	fm energy2	fm_ energy1	fm_ energy2	afm energy1	afm energy2
0	6.219757	-1.780243	8.098785	0.098785	-1.257467	7.576010
1	6.219155	-1.779641	8.098183	0.099388	-1.256922	7.575464
2	6.217348	-1.777834	8.096376	0.101194	-1.255285	7.573828
3	6.214338	-1.774824	8.093366	0.104204	-1.252560	7.571102
4	6.210127	-1.770612	8.089155	0.108416	-1.248747	7.567290
5	6.204716	-1.765202	8.083744	0.113826	-1.243850	7.562392
6	6.198110	-1.758596	8.077138	0.120432	-1.237872	7.556415
7	6.190312	-1.750798	8.069341	0.128230	-1.230818	7.549361
8	6.181328	-1.741813	8.060356	0.137215	-1.222694	7.541236
9	6.171161	-1.731647	8.050190	0.147381	-1.213505	7.532048
10	6.159820	-1.720305	8.038848	0.158723	-1.203259	7.521801
11	6.147309	-1.707795	8.026338	0.171233	-1.191963	7.510506
12	6.133638	-1.694124	8.012666	0.184905	-1.179627	7.498170
13	6.118813	-1.679299	7.997842	0.199729	-1.166260	7.484802
14	6.102845	-1.663331	7.981874	0.215697	-1.151871	7.470414
15	6.085743	-1.646229	7.964771	0.232800	-1.136473	7.455016
16	6.067516	-1.628002	7.946544	0.251026	-1.120078	7.438620
17	6.048177	-1.608662	7.927205	0.270366	-1.102697	7.421239
18	6.027736	-1.588222	7.906764	0.290807	-1.084345	7.402887
19	6.006206	-1.566692	7.885234	0.312337	-1.065036	7.383578
20	5.983600	-1.544085	7.862628	0.334943	-1.044785	7.363327
21	5.959931	-1.520417	7.838959	0.358611	-1.023608	7.342150
22	5.935214	-1.495700	7.814243	0.383328	-1.001522	7.320064
23	5.909464	-1.469950	7.788493	0.409078	-0.978544	7.297087
24	5.882696	-1.443182	7.761725	0.435846	-0.954693	7.273235
25	5.854927	-1.415413	7.733955	0.463616	-0.929987	7.248530
26	5.826172	-1.386658	7.705200	0.492370	-0.904447	7.222990
27	5.796450	-1.356936	7.675478	0.522093	-0.878093	7.196635
28	5.765778	-1.326264	7.644806	0.552764	-0.850946	7.169488
29	5.734175	-1.294661	7.613203	0.584368	-0.823028	7.141571
30	5.701659	-1.262145	7.580688	0.616883	-0.794363	7.112905
31	5.668251	-1.228737	7.547280	0.650291	-0.764973	7.083515
32	5.633971	-1.194456	7.512999	0.684572	-0.734882	7.053425
33	5.598838	-1.159324	7.477866	0.719704	-0.704117	7.022659
34	5.562875	-1.123361	7.441903	0.755667	-0.672701	6.991244
35	5.526103	-1.086589	7.405131	0.792440	-0.640663	6.959205
36	5.488544	-1.049029	7.367572	0.829999	-0.608028	6.926570
37	5.450220	-1.010706	7.329249	0.868322	-0.574824	6.893367
38	5.411156	-0.971642	7.290184	0.907387	-0.541080	6.859623
39	5.371373	-0.931859	7.250402	0.947169	-0.506825	6.825368
40	5.330898	-0.891383	7.209926	0.987645	-0.472088	6.790631
41	5.289752	-0.850238	7.168781	1.028790	-0.436900	6.755443
42	5.247963	-0.808448	7.126991	1.070580	-0.401291	6.719834
43	5.205553	-0.766039	7.084582	1.112989	-0.365294	6.683836
44	5.162551	-0.723036	7.041579	1.155992	-0.328939	6.647481
45	5.118980	-0.679466	6.998008	1.199563	-0.292260	6.610803
46	5.074867	-0.635353	6.953896	1.243675	-0.255290	6.573833
47	5.030240	-0.590726	6.909268	1.288303	-0.218063	6.536606
48	4.985124	-0.545610	6.864152	1.333419	-0.180614	6.499156
49	4.939547	-0.500033	6.818575	1.378995	-0.142976	6.461518
50	4.893537	-0.454023	6.772565	1.425006	-0.105185	6.423728
51	4.847121	-0.407606	6.726149	1.471422	-0.067277	6.385820
52	4.800326	-0.360812	6.679355	1.518216	-0.029289	6.347831
53	4.753183	-0.313668	6.632211	1.565360	0.008744	6.309799
54	4.705717	-0.266203	6.584746	1.612825	0.046784	6.271758
55	4.657960	-0.218445	6.536988	1.660583	0.084794	6.233748
56	4.609938	-0.170424	6.488966	1.708605	0.122737	6.195806
57	4.561681	-0.122167	6.440709	1.756862	0.160574	6.157968
58	4.513218	-0.073704	6.392246	1.805324	0.198268	6.120275
59	4.464578	-0.025064	6.343607	1.853964	0.235780	6.082762
60	4.415791	0.023723	6.294820	1.902751	0.273072	6.045470
61	4.366886	0.072628	6.245915	1.951656	0.310106	6.008436
62	4.317892	0.121622	6.196921	2.000650	0.346844	5.971699
63	4.268840	0.170675	6.147868	2.049703	0.383246	5.935296
64	4.219757	0.219757	6.098785	2.098785	0.419275	5.899267
